,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,926,0,34,0,4,0,0,22,0,14
Tomato___Early_blight,186,301,129,17,57,50,112,72,9,67
Tomato___Late_blight,64,116,580,39,71,21,24,30,5,50
Tomato___Leaf_Mold,1,34,128,554,242,26,0,2,9,4
Tomato___Septoria_leaf_spot,64,27,34,159,580,18,44,17,29,28
Tomato___Spider_mites Two-spotted_spider_mite,34,18,21,3,45,630,168,40,5,36
Tomato___Target_Spot,59,18,16,2,47,91,587,6,3,171
Tomato___Tomato_Yellow_Leaf_Curl_Virus,67,4,10,0,6,14,1,898,0,0
Tomato___Tomato_mosaic_virus,0,1,22,112,76,39,3,13,730,4
Tomato___healthy,206,4,78,4,17,19,334,0,1,337
